GO_0008150,"biological_process",,0
GO_0000001,"mitochondrion inheritance",GO_0048308,0
GO_0000001,"mitochondrion inheritance",GO_0048311,0
GO_0000002,"mitochondrial genome maintenance",GO_0007005,0
GO_0000003,"reproduction",GO_0008150,0
GO_0000011,"vacuole inheritance",GO_0007033,0
GO_0000011,"vacuole inheritance",GO_0048308,0
GO_0000012,"single strand break repair",GO_0006281,0
GO_0000017,"alpha-glucoside transport",GO_0042946,0
GO_0000018,"regulation of DNA recombination",GO_0051052,0
GO_0000019,"regulation of mitotic recombination",GO_0000018,0
GO_0000022,"mitotic spindle elongation",GO_0051231,0
GO_0000022,"mitotic spindle elongation",GO_1903047,0
GO_0000023,"maltose metabolic process",GO_0005984,0
GO_0000024,"maltose biosynthetic process",GO_0000023,0
GO_0000024,"maltose biosynthetic process",GO_0046351,0
GO_0000025,"maltose catabolic process",GO_0000023,0
GO_0000025,"maltose catabolic process",GO_0046352,0
GO_0000027,"ribosomal large subunit assembly",GO_0022618,0
GO_0000028,"ribosomal small subunit assembly",GO_0022618,0
GO_0000032,"cell wall mannoprotein biosynthetic process",GO_0006057,0
GO_0000032,"cell wall mannoprotein biosynthetic process",GO_0031506,0
GO_0000038,"very long-chain fatty acid metabolic process",GO_0006631,0
GO_0000041,"transition metal ion transport",GO_0030001,0
GO_0000045,"autophagosome assembly",GO_0070925,0
GO_0000045,"autophagosome assembly",GO_1905037,0
GO_0000050,"urea cycle",GO_0019627,0
GO_0000050,"urea cycle",GO_0043604,0
GO_0000050,"urea cycle",GO_1901566,0
GO_0000052,"citrulline metabolic process",GO_1901605,0
GO_0000053,"argininosuccinate metabolic process",GO_0006575,0
GO_0000053,"argininosuccinate metabolic process",GO_0072350,0
GO_0000053,"argininosuccinate metabolic process",GO_1901605,0
GO_0000054,"ribosomal subunit export from nucleus",GO_0033750,0
GO_0000054,"ribosomal subunit export from nucleus",GO_0051656,0
GO_0000054,"ribosomal subunit export from nucleus",GO_0071428,0
GO_0000055,"ribosomal large subunit export from nucleus",GO_0000054,0
GO_0000056,"ribosomal small subunit export from nucleus",GO_0000054,0
GO_0000070,"mitotic sister chromatid segregation",GO_0000819,0
GO_0000070,"mitotic sister chromatid segregation",GO_1903047,0
GO_0000073,"initial mitotic spindle pole body separation",GO_0110100,0
GO_0000073,"initial mitotic spindle pole body separation",GO_1903047,0
GO_0000075,"cell cycle checkpoint signaling",GO_0035556,0
GO_0000075,"cell cycle checkpoint signaling",GO_1901988,0
GO_0000076,"DNA replication checkpoint signaling",GO_0031570,0
GO_0000077,"DNA damage checkpoint signaling",GO_0031570,0
GO_0000077,"DNA damage checkpoint signaling",GO_0042770,0
GO_0000079,"regulation of cyclin-dependent protein serine/threonine kinase activity",GO_0071900,0
GO_0000079,"regulation of cyclin-dependent protein serine/threonine kinase activity",GO_1904029,0
GO_0000080,"mitotic G1 phase",GO_0051318,0
GO_0000082,"G1/S transition of mitotic cell cycle",GO_0044772,0
GO_0000082,"G1/S transition of mitotic cell cycle",GO_0044843,0
GO_0000083,"regulation of transcription involved in G1/S transition of mitotic cell cycle",GO_0006355,0
GO_0000083,"regulation of transcription involved in G1/S transition of mitotic cell cycle",GO_1903047,0
GO_0000084,"mitotic S phase",GO_0051320,0
GO_0000085,"mitotic G2 phase",GO_0051319,0
GO_0000086,"G2/M transition of mitotic cell cycle",GO_0044772,0
GO_0000086,"G2/M transition of mitotic cell cycle",GO_0044839,0
GO_0000087,"mitotic M phase",GO_0000279,0
GO_0000087,"mitotic M phase",GO_0098763,0
GO_0000088,"mitotic prophase",GO_0051324,0
GO_0000089,"mitotic metaphase",GO_0051323,0
GO_0000090,"mitotic anaphase",GO_0051322,0
GO_0000091,"mitotic anaphase A",GO_0000090,0
GO_0000092,"mitotic anaphase B",GO_0000090,0
GO_0000093,"mitotic telophase",GO_0051326,0
GO_0000096,"sulfur amino acid metabolic process",GO_0006082,0
GO_0000096,"sulfur amino acid metabolic process",GO_0006790,0
GO_0000096,"sulfur amino acid metabolic process",GO_1901564,0
GO_0000097,"sulfur amino acid biosynthetic process",GO_0000096,0
GO_0000097,"sulfur amino acid biosynthetic process",GO_0016053,0
GO_0000097,"sulfur amino acid biosynthetic process",GO_0044272,0
GO_0000097,"sulfur amino acid biosynthetic process",GO_1901566,0
GO_0000098,"sulfur amino acid catabolic process",GO_0000096,0
GO_0000098,"sulfur amino acid catabolic process",GO_0016054,0
GO_0000098,"sulfur amino acid catabolic process",GO_0044273,0
GO_0000098,"sulfur amino acid catabolic process",GO_1901565,0
GO_0000101,"sulfur amino acid transport",GO_0006865,0
GO_0000101,"sulfur amino acid transport",GO_0072348,0
GO_0000103,"sulfate assimilation",GO_0006790,0
GO_0000105,"histidine biosynthetic process",GO_0006547,0
GO_0000105,"histidine biosynthetic process",GO_0008652,0
GO_0000117,"regulation of transcription involved in G2/M transition of mitotic cell cycle",GO_0006355,0
GO_0000117,"regulation of transcription involved in G2/M transition of mitotic cell cycle",GO_1903047,0
GO_0000122,"negative regulation of transcription by RNA polymerase II",GO_0006357,0
GO_0000122,"negative regulation of transcription by RNA polymerase II",GO_0045892,0
GO_0000128,"flocculation",GO_0051703,0
GO_0000128,"flocculation",GO_0098610,0
GO_0000132,"establishment of mitotic spindle orientation",GO_0040001,0
GO_0000132,"establishment of mitotic spindle orientation",GO_0051294,0
GO_0000147,"actin cortical patch assembly",GO_0022607,0
GO_0000147,"actin cortical patch assembly",GO_0030866,0
GO_0000147,"actin cortical patch assembly",GO_0044396,0
GO_0000154,"rRNA modification",GO_0006364,0
GO_0000154,"rRNA modification",GO_0009451,0
GO_0000160,"phosphorelay signal transduction system",GO_0035556,0
GO_0000161,"osmosensory signaling MAPK cascade",GO_0007231,0
GO_0000161,"osmosensory signaling MAPK cascade",GO_0051403,0
GO_0000162,"tryptophan biosynthetic process",GO_0006568,0
GO_0000162,"tryptophan biosynthetic process",GO_0009073,0
GO_0000162,"tryptophan biosynthetic process",GO_0046219,0
GO_0000162,"tryptophan biosynthetic process",GO_1901607,0
GO_0000165,"MAPK cascade",GO_0035556,0
GO_0000183,"rDNA heterochromatin assembly",GO_0031507,0
GO_0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",GO_0000956,0
GO_0000196,"cell wall integrity MAPK cascade",GO_0051403,0
GO_0000209,"protein polyubiquitination",GO_0016567,0
GO_0000212,"meiotic spindle organization",GO_0007051,0
GO_0000212,"meiotic spindle organization",GO_1903046,0
GO_0000226,"microtubule cytoskeleton organization",GO_0007010,0
GO_0000226,"microtubule cytoskeleton organization",GO_0007017,0
GO_0000236,"mitotic prometaphase",GO_0098763,0
